#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing),
,xorg-server,is the graphical server.,
,xorg-xwininfo,allows querying information about windows.,
,xorg-xinit,starts the graphical server.,
,xorg-xinput,is input settings,
V,xorg-minimal,is the graphical server.,
V,xorg-fonts,is a font package.,
V,xinit,starts the graphical server.,
V,xdg-utils,are filetype utilities.,
V,libX11-devel,is required for the compilation of some programs.,
V,libXft-devel,is required for the compilation of some programs.,
V,gcr-devel,is required for the compilation of some programs.,
V,fontconfig-devel,is required for the compilation of some programs.,
,i3-gaps,is the main graphical user interface and window manager.,
,ttf-linux-libertine,provides the sans and serif fonts for LARBS.,
A,lf-git,is an extensive terminal file manager that everyone likes.,
,arandr,is a UI for screen adjustment.,
,bc,is used for a dropdown calculator.,
,calcurse,is a lightweight terminal-based calendar.,
,xcompmgr,is for transparency and removing screen-tearing.,
,xorg-xprop,is a tool for detecting window properties.,
V,xprop,is a tool for detecting window properties.,
,dosfstools,allows your computer to access dos-like filesystems.,
,libnotify,allows desktop notifications.,
V,dbus,facilitates inter-process communication.,
,dunst,is a suckless notification system.,
,exfat-utils,allows management of FAT drives.,
,sxiv,is a minimalist image viewer.,
,xwallpaper,sets the wallpaper.,
,ffmpeg,can record and splice video and audio on the command line.,
,gnome-keyring,serves as the system keyring.,
A,gtk-theme-arc-gruvbox-git,gives the dark GTK theme used in LARBS.,
,neovim,a tidier vim with some useful features,
,i3blocks,is the status bar.,
,mpd,is a lightweight music daemon.,
,mpc,is a terminal interface for mpd.,
,mpv,is the patrician's choice video player.,
,man-db,lets you read man pages of programs.,
,ncmpcpp,a ncurses powerful interface for mpd,
,qutebrowser,is an elegant browser with built-in adblocking.,
,noto-fonts-emoji,is an emoji font.,
V,font-symbola,provides unicode and emoji symbols.,
,ntfs-3g,allows accessing NTFS partitions.,
,pulseaudio-alsa,is the audio system.,
,pulsemixer,is an audio controler.,
,pamixer,is a command-line audio interface.,
A,sc-im,is an Excel-like terminal spreadsheet manager.,
,maim,can take quick screenshots at your request.,
,abook,is an offline addressbook usable by neomutt.,
,socat,is a socket utility.,
,tmux,is a terminal multiplexer and the dropdown window in LARBS.,
,unclutter,hides an inactive mouse.,
V,unclutter-xfixes,hides an inactive mouse.,
,unrar,extracts rar's.,
,unzip,unzips zips.,
,lynx,is a terminal browser.,
,xcape,gives the special escape/super mappings of LARBS.,
,xclip,allows for copying and pasting from the command line.,
,xdotool,provides window action utilities on the command line.,
,xorg-xdpyinfo,aids with resolution determination and screen recording.,
V,xdpyinfo,aids with resolution determination and screen recording.,
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link.,
,zathura,is a pdf viewer with vim-like bindings.,
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.,
,poppler,manipulates .pdfs and gives .pdf previews and other .pdf functions.,
,mediainfo,shows audio and video information.,
,atool,manages and gives information about archives.,
,fzf,is a fuzzy finder tool.,
,highlight,can highlight code output.,
,xorg-xbacklight,enables changing screen brightness levels.,
A,zsh-fast-syntax-highlighting,provides syntax highlighting in the shell.,
A,task-spooler,queues commands or files for download.,
V,ts,queues commands or files for download.,
A,simple-mtpfs-git,enables the mounting of cell phones.,
V,simple-mtpfs,enables the mounting of cell phones.,
V,setxkbmap,allows LARBS's unique keyboard bindings.,
V,xmodmap,allows LARBS's unique keyboard bindings.,
V,xsetroot,sets status bar and other X properies.,
V,xset,allows speeding up the X rate.,
G,https://github.com/xon-dev/dmenu.git,runs commands and provides a UI for selection.,
G,https://github.com/xon-dev/st.git,is my custom build of suckless's terminal emulator.,
A,mutt-wizard-git,is a light-weight terminal-based email system.,
,slock,"allows you to lock your computer, and quickly unlock with your password.",

A,pacman-contrib,is utils for pacman,
A,xorg-util-macros,is utils for autogen,
,cmake,is software for building C apps,
,clang,is compiler frontend for C language,
,python,is a programming language,
A,htop-vim-git,is a task manager,
A,pywal-git,is tool that can set wallpaper and make color scheme depending on it,
A,otf-code-new-roman,is a good monospaced font,
,tig,is a ncurses based interface for git,
A,nerd-fonts-complete-mono-glyphs,is pack of fonts icons and glyphs,
,hub,is github cli,
,git-lfs,"is a tool to store large files on git"
,wget,is wget,
A,prezto-git,is a good zsh config,
,transmission-cli,is transmission cli tools,
A,tremc-git,is transmission interface,
A,deemixgui,is music testing software,
A,kotatogram-desktop-dynamic-bin,is telegram client,
A,hsetroot,is tool to change default grey bg,
A,epy-git,is book reading software,
,xdg-user-dirs,is tool that used to handle default user directories,
